plant_id,type,n,c2,c1,c0
GLENARM-NG,NG,1,0,10.085636392464982,0
HYDABURG-DFO,DFO,1,0,-3.153846153846155,0
FRENCH MEADOWS-WAT,WAT,1,0,8.904032814996214,0
MIDDLE FORK-WAT,WAT,1,0,8.904001771803918,0
OXBOW (CA)-WAT,WAT,1,0,8.904088747250851,0
RALSTON-WAT,WAT,1,0,8.903996389080225,0
PARKER-WAT,WAT,1,0,8.902642850184618,0
CAMINO-WAT,WAT,1,0,8.904003264114975,0
JAYBIRD-WAT,WAT,1,0,8.904000032702998,0
LOON LAKE-WAT,WAT,1,0,8.903991250918015,0
ROBBS PEAK-WAT,WAT,1,0,8.90399044053214,0
WHITE ROCK/SLAB CREEK-WAT,WAT,1,0,8.904001550647912,0
DEVIL CANYON-WAT,WAT,1,0,8.903999211339702,0
EDWARD C HYATT-WAT,WAT,1,0,8.903999871997506,0
DON PEDRO-WAT,WAT,1,0,8.898387810892428,0
LA GRANGE-WAT,WAT,1,0,8.903910982779493,0
FOLSOM-WAT,WAT,1,0,8.904002664408102,0
JUDGE F CARR-WAT,WAT,1,0,8.90399375222958,0
KESWICK-WAT,WAT,1,0,8.903999547187949,0
NIMBUS-WAT,WAT,1,0,8.904001112986805,0
SHASTA-WAT,WAT,1,0,8.904000626547125,0
ONEILL-WAT,WAT,1,0,0.0,0
PARKER DAM-WAT,WAT,1,0,8.903997887659928,0
W R GIANELLI-WAT,WAT,1,0,0.0,0
SPRING CREEK-WAT,WAT,1,0,8.903992898140512,0
TRINITY-WAT,WAT,1,0,8.9040005159332,0
COLGATE-WAT,WAT,1,0,8.904000474633609,0
NARROWS 2-WAT,WAT,1,0,8.903985064013204,0
BEAR VALLEY-WAT,WAT,1,0,8.904339158229208,0
PUEBLO-DFO,DFO,1,0,-4.960418630465232,0
ALAMOSA-NG,NG,1,0,14.783740205849547,0
BOULDER CANYON HYDRO-WAT,WAT,1,0,8.90329804248008,0
CABIN CREEK-WAT,WAT,1,0,0.0,0
CHEROKEE-NG,NG,1,0,8.108880471080795,0
COMANCHE (CO)-SUB,SUB,1,0,9.435180098947317,0
FRUITA-NG,NG,1,0,22.111255716162013,0
GEORGETOWN HYDRO-WAT,WAT,1,0,8.905327954614405,0
GRAND VALLEY PROJECT POWER PLANT-WAT,WAT,1,0,8.903145244058564,0
SALIDA-WAT,WAT,1,0,8.913710953793414,0
SHOSHONE (CO)-WAT,WAT,1,0,8.903960629429372,0
VALMONT-NG,NG,1,0,18.159245688522287,0
TEMESCAL-WAT,WAT,1,0,8.903421221871302,0
CORONA-WAT,WAT,1,0,8.904247720461182,0
PERRIS-WAT,WAT,1,0,8.903432758513537,0
RIO HONDO-WAT,WAT,1,0,8.910891089108908,0
COYOTE CREEK-WAT,WAT,1,0,0.0,0
RED MOUNTAIN-WAT,WAT,1,0,0.0,0
VALLEY VIEW-WAT,WAT,1,0,8.903053462370254,0
UPPER DAWSON-WAT,WAT,1,0,8.90418818808054,0
MARTIN DRAKE-SUB,SUB,1,0,11.620778659384353,0
GEORGE BIRDSALL-NG,NG,1,0,16.062001085737148,0
MANITOU SPRINGS-WAT,WAT,1,0,8.903818665145497,0
RUXTON PARK-WAT,WAT,1,0,8.89871675881266,0
BOYSEN-WAT,WAT,1,0,8.904036033648229,0
LAS ANIMAS-DFO,DFO,1,0,0.0,0
LAMAR PLANT-WND,WND,1,0,8.904472802742385,0
SONOMA CALIFORNIA GEOTHERMAL-GEO,GEO,1,0,8.903985542986327,0
TRINIDAD (CO)-DFO,DFO,1,0,8.818131539442646,0
BLUE MESA-WAT,WAT,1,0,8.903964725708667,0
ESTES-WAT,WAT,1,0,8.904007935393194,0
MORROW POINT-WAT,WAT,1,0,8.90401346733624,0
