plant_id,bus_id,Pg,status,Pmax,Pmin,ramp_30,type,region
UPPER GORGE-WAT,309390,1,OP,36.5,0.5,0.5,WAT,Western
VALLEY (CA)-NG,310458,1,OP,576.0,62.0,62.0,NG,Western
EXCHEQUER-WAT,310489,1,OP,94.5,0.1,0.1,WAT,Western
MCSWAIN-WAT,310489,1,OP,9.0,0.1,0.1,WAT,Western
CHICAGO PARK-WAT,309468,1,OP,44.0,5.0,5.0,WAT,Western
DUTCH FLAT 2-WAT,309468,1,OP,27.3,0,0,WAT,Western
BEARDSLEY-WAT,309372,1,OP,8.5,1.0,1.0,WAT,Western
DONNELLS-WAT,309372,1,OP,61.2,5.0,5.0,WAT,Western
TULLOCH-WAT,308730,1,OP,22.5,1.0,1.0,WAT,Western
FORBESTOWN-WAT,308730,1,OP,37.5,0,0,WAT,Western
KELLY RIDGE-WAT,310438,1,OP,11.0,0.0,0.0,WAT,Western
WOODLEAF-WAT,310438,1,OP,60.0,0,0,WAT,Western
CRAIG (AK)-DFO,310438,1,OP,4.6,0,0,DFO,uncertain
GLENARM-NG,310438,1,OP,207.0,0,0,NG,Western
HYDABURG-DFO,310438,1,OP,1.0,0,0,DFO,uncertain
FRENCH MEADOWS-WAT,309436,1,OP,16.0,0.0,0.0,WAT,Western
MIDDLE FORK-WAT,309436,1,OP,132.0,0.0,0.0,WAT,Western
OXBOW (CA)-WAT,309436,1,OP,6.0,0.0,0.0,WAT,Western
RALSTON-WAT,309436,1,OP,86.0,0.0,0.0,WAT,Western
PARKER-WAT,309436,1,OP,2.7,0,0,WAT,Western
CAMINO-WAT,308707,1,OP,155.9,1.0,1.0,WAT,Western
JAYBIRD-WAT,308707,1,OP,156.2,0,0,WAT,Western
LOON LAKE-WAT,308707,1,OP,74.1,1.0,1.0,WAT,Western
ROBBS PEAK-WAT,308707,1,OP,25.5,1.0,1.0,WAT,Western
WHITE ROCK/SLAB CREEK-WAT,307578,1,OP,241.5,0.5,0.5,WAT,Western
DEVIL CANYON-WAT,301254,1,OP,262.0,15.0,15.0,WAT,Western
EDWARD C HYATT-WAT,307680,1,OP,743.1,97.0,97.0,WAT,Western
DON PEDRO-WAT,310824,1,OP,203.2,8.0,8.0,WAT,Western
LA GRANGE-WAT,310824,1,OP,4.3,0.1,0.1,WAT,Western
FOLSOM-WAT,310307,1,OP,215.10000000000002,0.0,0.0,WAT,Western
JUDGE F CARR-WAT,310901,1,OP,177.4,0.0,0.0,WAT,Western
KESWICK-WAT,310901,1,OP,117.0,0.0,0.0,WAT,Western
NIMBUS-WAT,310307,1,OP,16.6,0.0,0.0,WAT,Western
SHASTA-WAT,310901,1,OP,714.0,0.0,0.0,WAT,Western
ONEILL-WAT,310901,1,OP,14.4,0,0,WAT,Western
PARKER DAM-WAT,307545,1,OP,120.0,0.0,0.0,WAT,Western
W R GIANELLI-WAT,310440,1,OP,401.0,0.0,0.0,WAT,Western
SPRING CREEK-WAT,310901,1,OP,180.0,0.0,0.0,WAT,Western
TRINITY-WAT,310901,1,OP,140.0,0.0,0.0,WAT,Western
COLGATE-WAT,309956,1,OP,315.0,1.0,1.0,WAT,Western
NARROWS 2-WAT,309956,1,OP,46.7,0,0,WAT,Western
BEAR VALLEY-WAT,304153,1,OP,1.4,0.2,0.2,WAT,Western
PUEBLO-DFO,203945,1,OP,8.0,2.0,2.0,DFO,Western
ALAMOSA-NG,208116,1,OP,27.0,5.0,5.0,NG,Western
BOULDER CANYON HYDRO-WAT,208116,1,OP,5.0,0,0,WAT,Western
CABIN CREEK-WAT,201514,1,OP,324.0,75.0,75.0,WAT,Western
CHEROKEE-NG,203839,1,OP,886.0,104.0,104.0,NG,Western
COMANCHE (CO)-SUB,,1,OP,1410.0,,,SUB,uncertain
FRUITA-NG,205918,1,OP,14.0,5.0,5.0,NG,Western
GEORGETOWN HYDRO-WAT,,1,OP,1.2,,,WAT,Western
GRAND VALLEY PROJECT POWER PLANT-WAT,206539,1,OP,1.5,0.5,0.5,WAT,uncertain
SALIDA-WAT,204060,1,OP,0.6,0.6,0.6,WAT,Western
SHOSHONE (CO)-WAT,,1,OP,8.0,,,WAT,Western
VALMONT-NG,206534,1,OP,43.0,18.0,18.0,NG,Western
TEMESCAL-WAT,206534,1,OP,2.8,0,0,WAT,Western
CORONA-WAT,206534,1,OP,2.8,0,0,WAT,Western
PERRIS-WAT,310770,1,OP,7.9,1.5,1.5,WAT,Western
RIO HONDO-WAT,310611,1,OP,1.9,0.5,0.5,WAT,Western
COYOTE CREEK-WAT,310809,1,OP,3.1,0.7,0.7,WAT,Western
RED MOUNTAIN-WAT,305771,1,OP,5.9,1.0,1.0,WAT,Western
VALLEY VIEW-WAT,310001,1,OP,4.1,1.2,1.2,WAT,Western
UPPER DAWSON-WAT,310824,1,OP,5.5,0.6,0.6,WAT,Western
MARTIN DRAKE-SUB,203949,1,OP,208.0,55.0,55.0,SUB,uncertain
GEORGE BIRDSALL-NG,206317,1,OP,55.0,6.0,6.0,NG,Western
MANITOU SPRINGS-WAT,201502,1,OP,5.6,0.0,0.0,WAT,Western
RUXTON PARK-WAT,201502,1,OP,1.0,0.1,0.1,WAT,Western
BOYSEN-WAT,203126,1,OP,17.2,0.0,0.0,WAT,Western
LAS ANIMAS-DFO,203937,1,OP,5.1,1.0,1.0,DFO,Western
LAMAR PLANT-WND,208163,1,OP,5.5,1.0,1.0,WND,Western
SONOMA CALIFORNIA GEOTHERMAL-GEO,308511,1,OP,50.0,10.0,10.0,GEO,Western
TRINIDAD (CO)-DFO,,1,OP,5.4,,,DFO,Western
BLUE MESA-WAT,203987,1,OP,86.4,0.0,0.0,WAT,Western
ESTES-WAT,205132,1,OP,51.599999999999994,0.0,0.0,WAT,Western
MORROW POINT-WAT,203987,1,OP,173.2,0.0,0.0,WAT,Western
BIG THOMPSON-WAT,205897,1,OP,4.1,0.0,0.0,WAT,Western
GREEN MOUNTAIN-WAT,205909,1,OP,26.0,0.0,0.0,WAT,Western
MARYS LAKE-WAT,205132,1,OP,9.3,0.0,0.0,WAT,Western
FLATIRON-WAT,205132,1,OP,94.5,0,0,WAT,Western
POLE HILL-WAT,205143,1,OP,38.2,0.0,0.0,WAT,Western
LOWER MOLINA-WAT,203987,1,OP,5.6,0.0,0.0,WAT,Western
UPPER MOLINA-WAT,203987,1,OP,9.9,0.0,0.0,WAT,Western
HAYDEN-BIT,205933,1,OP,441.0,120.0,120.0,BIT,uncertain
